"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"63680099999","1974-08-02","9999.9","010010","999.9","  77.0","  55.4","  1.9"," 0.00","9999.9","999.9","999.9","  70.3","  7.8","  1.0"
"63680099999","1975-06-19","  59.0","000000","999.9","  73.4","  59.0"," 12.0"," 0.47","9999.9","999.9","999.9","  68.7"," 19.3","  5.0"
"63680099999","1975-07-31","  59.9","000000","999.9","  77.0","  55.4","  9.9"," 0.00","9999.9","999.9","999.9","  70.2"," 21.0","  4.0"
"63680099999","1975-08-07","  61.2","000000","999.9","  80.6","  53.6","  8.0"," 0.00","9999.9","999.9","999.9","  70.7"," 15.5","  3.5"
"63680099999","1975-08-08","  62.6","110010","999.9","  77.0","  57.2","999.9"," 0.16","9999.9","999.9","999.9","  63.5","  5.7","  0.0"
"63680099999","1975-08-12","  60.3","100000","999.9","  78.8","  55.4","  8.9"," 0.00","9999.9","999.9","999.9","  64.9","  9.2","  3.5"
"63680099999","1975-09-01","  61.7","000000","999.9","  84.2","  55.4","  5.1"," 0.83","9999.9","999.9","999.9","  68.9"," 18.6","  1.3"
"63680099999","1975-09-14","  63.3","010010","999.9","  80.6","  60.8","  4.1"," 0.32","9999.9","999.9","999.9","  66.9"," 18.0","  0.8"
"63680099999","1975-10-02","  63.1","010010","999.9","  77.0","  60.8","999.9"," 0.00","9999.9","999.9","999.9","  69.4"," 16.3","  0.0"
"63680099999","1975-10-20","  64.4","000000","999.9","  78.8","  55.4","  9.9"," 0.00","9999.9","999.9","999.9","  68.9"," 17.9","  2.5"
"63680099999","1975-11-01","  63.9","000010","999.9","  84.2","  59.0","  7.0"," 0.28","9999.9","999.9","999.9","  72.5"," 16.3","  1.7"
"63680099999","1975-11-04","  61.7","000000","999.9","  84.2","  55.4","999.9"," 0.00","9999.9","999.9","999.9","  70.3"," 21.0","999.9"
"63680099999","1975-11-07","9999.9","010000","999.9","  84.2","  60.8","999.9"," 0.00","9999.9","999.9","999.9","  70.7"," 14.8","999.9"
"63680099999","1975-11-10","  61.7","000010","999.9","  75.2","  60.8","999.9"," 0.04","9999.9","999.9","999.9","  71.6"," 17.9","999.9"
"63680099999","1975-11-12","  63.3","000000","999.9","  82.4","  64.4","  7.0"," 0.00","9999.9","999.9","999.9","  71.6"," 21.1","  2.8"
"63680099999","1975-11-13","  62.2","010010","999.9","  69.8","  60.8","  5.1"," 0.06","9999.9","999.9","999.9","  66.2"," 11.7","  1.3"
"63680099999","1975-11-16","  64.4","010010","999.9","  80.6","  64.4","  7.0"," 0.00","9999.9","999.9","999.9","  70.5"," 14.3","  1.4"
"63680099999","1975-11-18","  62.2","000000","999.9","  82.4","  64.4"," 11.1"," 0.00","9999.9","999.9","999.9","  75.2"," 21.1","  4.8"
"63680099999","1975-11-19","  61.2","000000","999.9","  77.0","  53.6","999.9"," 0.00","9999.9","999.9","999.9","  64.4"," 17.9","  0.0"
"63680099999","1975-11-22","  62.6","010010","999.9","  82.4","  62.6","  9.9"," 0.00","9999.9","999.9","999.9","  70.5"," 16.2","  2.5"
"63680099999","1975-11-24","  61.7","000000","999.9","  82.4","  66.2","  9.9"," 0.00","9999.9","999.9","999.9","  75.2"," 21.7","  4.5"
"63680099999","1975-11-27","  58.5","000000","999.9","  86.0","  62.6","  9.9"," 0.00","9999.9","999.9","999.9","  73.9"," 21.7","  3.2"
"63680099999","1975-11-28","  52.2","000000","999.9","  86.0","  44.6","  5.1"," 0.00","9999.9","999.9","999.9","  65.8"," 18.6","  2.0"
"63680099999","1975-12-04","9999.9","000000","999.9","  77.0","  60.8","  7.0"," 0.00","9999.9","999.9","999.9","  67.6"," 14.8","  1.7"
"63680099999","1975-12-05","  63.5","010010","999.9","  73.4","  59.0","  5.1"," 1.46","9999.9","999.9","999.9","  68.9"," 14.0","  2.0"
"63680099999","1975-12-10","  61.2","100000","999.9","  84.2","  60.8","  5.1"," 1.97","9999.9","999.9","999.9","  67.6"," 16.3","  1.3"
"63680099999","1975-12-12","  62.6","000000","999.9","  82.4","  57.2","  5.1"," 0.00","9999.9","999.9","999.9","  68.9"," 18.6","  1.3"
"63680099999","1975-12-15","9999.9","000000","999.9","  84.2","  51.8","  4.1"," 0.00","9999.9","999.9","999.9","  74.8"," 22.5","  1.0"
"63680099999","1975-12-19","  61.2","000010","999.9","  80.6","  57.2","  9.9"," 0.00","9999.9","999.9","999.9","  66.2"," 19.4","  3.5"
"63680099999","1975-12-27","  63.7","000000","999.9","  82.4","  53.6","  8.0"," 0.00","9999.9","999.9","999.9","  74.1"," 18.8","  3.8"
"63680099999","1975-12-31","  61.7","010010","999.9","  75.2","  59.0","  6.0"," 0.20","9999.9","999.9","999.9","  68.5","  8.7","  2.5"
"63680099999","1976-01-05","  62.6","000000","999.9","  77.0","  57.2","  4.1"," 0.00","9999.9","999.9","999.9","  68.0"," 13.2","  1.0"
"63680099999","1976-01-12","9999.9","000000","999.9","  80.6","  55.4","999.9"," 0.55","9999.9","999.9","999.9","  68.0","999.9","  0.0"
"63680099999","1976-01-23","  63.5","000000","999.9","  86.0","  59.0","999.9"," 0.00","9999.9","999.9","999.9","  74.8"," 17.9","  0.0"
"63680099999","1976-01-25","  63.5","000000","999.9","  84.2","  55.4","  5.1"," 0.00","9999.9","999.9","999.9","  73.4"," 14.5","  3.0"
"63680099999","1976-01-26","  59.9","000000","999.9","  87.8","  59.0","  7.0"," 0.00","9999.9","999.9","999.9","  74.1"," 21.1","  2.2"
"63680099999","1976-02-04","  63.2","000000","999.9","  82.4","  64.4","  5.1"," 2.28","9999.9","999.9","999.9","  69.2"," 19.7","  1.5"
"63680099999","1976-02-12","  63.0","000000","999.9","  86.0","  68.0","  7.0"," 0.00","9999.9","999.9","999.9","  73.8"," 16.7","  3.2"
"63680099999","1976-02-13","  65.8","000000","999.9","  77.0","  62.6","999.9"," 0.59","9999.9","999.9","999.9","  70.7"," 16.3","  0.0"
"63680099999","1976-02-14","  59.9","000000","999.9","  77.0","  59.0","  4.1"," 0.83","9999.9","999.9","999.9","  65.8"," 18.6","  1.0"
"63680099999","1976-02-16","  62.2","000000","999.9","  82.4","  55.4","  6.0"," 0.00","9999.9","999.9","999.9","  70.2"," 18.0","  1.2"
"63680099999","1976-02-19","  65.3","000000","999.9","  80.6","  57.2","  2.9"," 0.00","9999.9","999.9","999.9","  75.7"," 21.0","  1.5"
"63680099999","1976-02-21","  65.3","000000","999.9","  80.6","  59.0","  7.0"," 0.28","9999.9","999.9","999.9","  73.9"," 24.1","  1.7"
